NodeID,Parent,Etime,Itime,estRtime
1,,,0,1583
2,1,,6,89
3,1,,9,72
4,2,,89,101
5,4,,101,147
6,4,,,122
7,6,,122,286
8,7,,130,153
9,7,,,283
10,9,,141,177
11,5,,147,186
12,7,,149,205
13,10,,177,219
14,11,,186,190
15,1,,215,222
16,9,,266,287
17,1,,273,274
18,17,,274,274
19,18,,274,277
20,19,,277,278
21,20,,278,279
22,21,,279,281
23,22,,281,281
24,23,,281,282
25,24,,282,283
26,9,,283,284
27,26,,284,285
28,27,,285,346
29,7,,286,286
30,29,,286,287
31,30,,287,287
32,31,,287,302
33,1,,,289
34,33,,289,306
35,1,,289,290
36,35,,290,291
37,36,,291,293
38,37,,293,298
39,1,,293,293
40,39,,293,297
41,40,,,293
42,41,,293,323
43,1,,297,310
44,1,,297,312
45,1,,,298
46,45,,298,298
47,46,,298,306
48,47,,,298
49,48,,298,304
50,1,,300,300
51,50,,300,302
52,51,,302,302
53,52,,302,307
54,1,,302,307
55,54,,307,307
56,55,,307,310
57,56,,310,310
58,57,,310,314
59,58,,314,319
60,59,,319,322
61,60,,322,323
62,61,,323,346
63,1,,,324
64,63,,324,331
65,64,,,328
66,65,,328,335
67,66,,335,336
68,67,,336,340
69,68,,340,341
70,69,,341,342
71,70,,342,350
72,1,,353,386
73,1,,357,359
74,73,,359,359
75,74,,359,373
76,75,,373,375
77,76,,375,385
78,77,,385,407
79,78,,407,342
80,79,,342,425
81,80,,425,439
82,81,,439,446
83,82,,446,450
84,83,,450,489
85,1,,458,714
86,85,,714,727
87,1,,747,748
88,1,,771,786
89,88,,786,802
90,89,,802,809
91,90,,809,838
92,91,,838,841
93,92,,841,842
94,93,,842,862
95,1,,852,862
96,1,,908,911
97,96,,911,924
98,97,,924,961
99,98,,961,988
100,2,,,1020
101,100,,1020,1343
102,101,,1343,1458
103,102,,1458,1463
104,1,,1583,2815
105,104,,2815,2840
